# regression_id	status	superseded_by	contract	validator_owner
R-SD-024	superseded	R-SD-039	PLAYER_HEALTHBOX_OCCLUDER_ONLY_DURING_OPPONENT_DOWNWARD_FAINT_MOTION	none
R-SD-039	superseded	R-SD-042	PLAYER_HEALTHBOX_ALWAYS_ABOVE_OPPONENT_FRONT	none
R-SD-040	active	-	ACTIVE_VALIDATORS_MUST_TRACK_CURRENT_SEMANTICS_AND_SUPERSESSIONS	validate_validator_contracts.py
R-SD-041	superseded	R-SD-043	XS_BODY_SIZE_CLASS_BASE_SCALE_EQUALS_0_60	none
R-SD-042	active	-	HUD_OCCLUSION_IS_DIRECTIONAL_PLAYER_HUD_ABOVE_OPPONENT_FRONT_ONLY	validate_m2r11d_directional_hud.py
R-SD-043	active	-	SIZE_CLASS_IS_SOLE_SCALE_AUTHORITY_XS_0_60_STEP_0_12	validate_m2r11d_size_class_authority.py
R-SD-044	active	-	PLAYER_HEALTHBOX_RESTORE_USES_OBJ_ALPHA_MASK_NO_BATTLEFIELD_SHADOW_PASTE	validate_m2r11e_healthbox_alpha_mask.py
R-SD-045	superseded	R-SD-049	FULL_GEN1_2_SIZE_CLASS_DERIVES_FROM_EXACT_SOULGOLD_SPECIES_HEIGHT_AUTHORITY	none
R-SD-046	active	-	GEOMETRY_RETUNE_REUSES_LOCAL_SOURCE_GIF_WITHOUT_NETWORK_REDOWNLOAD	validate_m2r12c_perceptual_size_classes.py
R-SD-047	active	-	SPECIES_INFO_PARSER_MUST_FOLLOW_SOULGOLD_SPLIT_LOCAL_INCLUDE_TREE	validate_m2r12a_species_info_includes.py
R-SD-048	active	-	SPECIES_INFO_PARSER_MUST_RESOLVE_CONSTANT_HEIGHT_FROM_MACRO_INITIALIZERS	validate_m2r12b_species_info_macro_parser.py
R-SD-049	active	-	FULL_GEN1_2_SIZE_CLASS_DERIVES_FROM_EXACT_SOULGOLD_HEIGHT_WEIGHT_PERCEPTUAL_INDEX	validate_m2r12c_perceptual_size_classes.py
R-SD-050	active	-	FULL_GEN1_2_PREP_MUST_EMIT_CLASS_RELATIVE_VISUAL_FOOTPRINT_AUDIT	audit_showdown_gen1_2_visual_sizes.py
