source,zh_tw,mode,note
Pikachu,皮卡丘,word,Pokémon official zh-TW
Bulbasaur,妙蛙種子,word,Pokémon official zh-TW
Charmander,小火龍,word,Pokémon official zh-TW
Squirtle,傑尼龜,word,Pokémon official zh-TW
Pokémon,寶可夢,word,Official Taiwan terminology
Pokemon,寶可夢,word,ASCII spelling fallback
Pokédex,寶可夢圖鑑,word,Official Taiwan terminology
Pokedex,寶可夢圖鑑,word,ASCII spelling fallback
Poké Ball,精靈球,word,Official Taiwan terminology
Potion,傷藥,exact,Common official term
Antidote,解毒藥,exact,Common official term
Thunderbolt,十萬伏特,exact,Move name
Tackle,撞擊,exact,Move name
Surf,衝浪,exact,Move name
Intimidate,威嚇,exact,Ability name
Leftovers,吃剩的東西,exact,Item name
